pool,stratum,mode,t,n,A_recall10,B_recall10,d_recall10,discordant_A_only,discordant_B_only,mcnemar_p,A_mrr10,B_mrr10,d_mrr10,d_mrr10_ci_lo,d_mrr10_ci_hi,A_ndcg10,B_ndcg10,d_ndcg10,d_ndcg10_ci_lo,d_ndcg10_ci_hi,A_union10,B_union10,A_page,B_page,A_reachable,B_reachable
OLD80_CONTAMINATED,all,dense,0.7,80,0.7125,0.375,0.3375,29,2,4.628673195838928e-07,0.663888888888889,0.3578125,0.3060763888888889,0.19496527777777778,0.4180555555555555,0.6756253305435796,0.36182993287946486,0.3137953976641149,0.20427166263051555,0.4238726569593855,0.725,0.5125,0.825,0.7875,1.0,0.5125
OLD80_CONTAMINATED,all,dense,0.8,80,0.7125,0.2375,0.47500000000000003,38,0,7.275957614183426e-12,0.663888888888889,0.2203125,0.44357638888888895,0.3392274305555556,0.5566015624999999,0.6756253305435796,0.22432993287946484,0.45129539766411486,0.34401414083018805,0.5591860392897957,0.725,0.4125,0.825,0.7875,1.0,0.325
OLD80_CONTAMINATED,all,sparse,0.4,80,0.85,0.6,0.25,21,1,1.0967254638671875e-05,0.7377232142857142,0.5549107142857143,0.1828125,0.08831659226190476,0.2791666666666667,0.7323032949610516,0.5009402794029365,0.23136301555811517,0.1436561074758447,0.3217423995420219,0.85,0.75,0.8875,0.9,1.0,0.75
OLD80_CONTAMINATED,all,sparse,0.5,80,0.85,0.525,0.32499999999999996,27,1,2.1606683731079102e-07,0.7377232142857142,0.480625,0.2570982142857143,0.15419568452380952,0.3608504464285714,0.7550757646605393,0.4869299446544903,0.26814582000604903,0.17001113233271412,0.36848594689422676,0.85,0.6875,0.8875,0.9,1.0,0.725
OLD80_CONTAMINATED,all,sparse,0.6,80,0.85,0.5125,0.3375,28,1,1.1175870895385742e-07,0.7377232142857142,0.46187500000000004,0.27584821428571427,0.17126934523809526,0.3784572172619047,0.7575549899033882,0.4746522266645653,0.28290276323882296,0.18071831106343136,0.3836381650236207,0.85,0.6625,0.8875,0.9,1.0,0.65
OLD80_CONTAMINATED,all,sparse,0.7,80,0.85,0.4125,0.4375,36,1,5.529727786779404e-10,0.7377232142857142,0.38375,0.35397321428571427,0.24615811011904762,0.465625,0.7599728199486042,0.3909955258493614,0.3689772940992427,0.2612503020744143,0.4774241209608705,0.85,0.5875,0.8875,0.9,1.0,0.5125
OLD80_CONTAMINATED,all,sparse,0.8,80,0.85,0.2625,0.5874999999999999,47,0,1.4210854715202004e-14,0.7377232142857142,0.24375,0.4939732142857142,0.3900297619047619,0.5963541666666666,0.7648084800390359,0.24865986575892968,0.5161486142801063,0.41485806477901666,0.6192883948640422,0.85,0.4875,0.8875,0.9,1.0,0.325
OLD80_CONTAMINATED,table,hybrid,0.4,40,0.8,0.325,0.47500000000000003,19,0,3.814697265625e-06,0.5748214285714285,0.2744047619047619,0.30041666666666667,0.15415773809523808,0.4477633928571425,0.6019009551093151,0.24056783253894531,0.3613331225703697,0.2250654311109188,0.4978213248222637,0.8,0.6,0.875,0.85,1.0,0.5
OLD80_CONTAMINATED,table,hybrid,0.5,40,0.8,0.2,0.6000000000000001,24,0,1.1920928955078125e-07,0.5748214285714285,0.18333333333333332,0.3914880952380952,0.24273363095238093,0.5375,0.6224106682796737,0.1875,0.43491066827967373,0.29390117321734294,0.5747013219749307,0.8,0.475,0.875,0.85,1.0,0.45
OLD80_CONTAMINATED,table,hybrid,0.6,40,0.8,0.175,0.625,25,0,5.960464477539063e-08,0.5748214285714285,0.15833333333333333,0.4164880952380952,0.26569940476190473,0.566672619047619,0.623799722242931,0.1625,0.46129972224293103,0.31647524871297394,0.5991486485051837,0.8,0.425,0.875,0.85,1.0,0.325
OLD80_CONTAMINATED,table,hybrid,0.7,40,0.8,0.125,0.675,27,0,1.4901161193847656e-08,0.5748214285714285,0.10833333333333332,0.4664880952380953,0.3238095238095238,0.6071428571428571,0.6286353823333628,0.1125,0.5161353823333628,0.38380639274498113,0.6486471085007487,0.8,0.375,0.875,0.85,1.0,0.25
OLD80_CONTAMINATED,table,hybrid,0.8,40,0.8,0.1,0.7000000000000001,28,0,7.450580596923828e-09,0.5748214285714285,0.08333333333333333,0.4914880952380953,0.35088839285714285,0.6316666666666666,0.6286353823333628,0.0875,0.5411353823333628,0.4070449305462758,0.6691059406948645,0.8,0.25,0.875,0.85,1.0,0.175
OLD80_CONTAMINATED,table,dense,0.4,40,0.55,0.225,0.32500000000000007,14,1,0.0009765625,0.4652777777777778,0.225,0.24027777777777776,0.09444444444444444,0.39305555555555555,0.4533218590434528,0.16566579528864575,0.28765606375480707,0.14810559605078316,0.43108343447884484,0.55,0.475,0.7,0.65,1.0,0.5
OLD80_CONTAMINATED,table,dense,0.5,40,0.55,0.125,0.42500000000000004,17,0,1.52587890625e-05,0.4652777777777778,0.125,0.3402777777777778,0.20552083333333335,0.4805555555555555,0.4673493255707303,0.125,0.3423493255707302,0.20981973151785932,0.48390857432104417,0.55,0.35,0.7,0.65,1.0,0.45
OLD80_CONTAMINATED,table,dense,0.6,40,0.55,0.1,0.45000000000000007,18,0,7.62939453125e-06,0.4652777777777778,0.1,0.36527777777777776,0.23055555555555554,0.5083333333333333,0.4758060970670094,0.1,0.3758060970670094,0.24000710333612343,0.5178103593554011,0.55,0.25,0.7,0.65,1.0,0.325
OLD80_CONTAMINATED,table,dense,0.7,40,0.55,0.075,0.47500000000000003,19,0,3.814697265625e-06,0.4652777777777778,0.075,0.3902777777777778,0.25,0.5333333333333334,0.48547741724787297,0.075,0.410477417247873,0.26938259692557354,0.5575341526227744,0.55,0.2,0.7,0.65,1.0,0.25
OLD80_CONTAMINATED,table,dense,0.8,40,0.55,0.05,0.5,20,0,1.9073486328125e-06,0.4652777777777778,0.05,0.41527777777777775,0.275,0.5611111111111111,0.48547741724787297,0.05,0.435477417247873,0.2933247436224855,0.5831223077853185,0.55,0.175,0.7,0.65,1.0,0.175
OLD80_CONTAMINATED,table,sparse,0.4,40,0.775,0.325,0.45,18,0,7.62939453125e-06,0.5671130952380953,0.2785714285714286,0.28854166666666664,0.14806547619047622,0.43690848214285705,0.5918677729647973,0.2517437157384733,0.3401240572263239,0.20087239834391002,0.47818293468352085,0.775,0.6,0.825,0.85,1.0,0.5
OLD80_CONTAMINATED,table,sparse,0.5,40,0.775,0.225,0.55,22,0,4.76837158203125e-07,0.5671130952380953,0.1925,0.3746130952380952,0.23068377976190474,0.5244092261904761,0.6073228495019422,0.20044456402014998,0.40687828548179217,0.2690426600888461,0.5510346466918533,0.775,0.5,0.825,0.85,1.0,0.45
OLD80_CONTAMINATED,table,sparse,0.6,40,0.775,0.2,0.575,23,0,2.384185791015625e-07,0.5671130952380953,0.1675,0.3996130952380953,0.25206994047619047,0.5506547619047619,0.61228129998764,0.17544456402015,0.43683673596749006,0.2949150342746821,0.5810332926556236,0.775,0.475,0.825,0.85,1.0,0.325
OLD80_CONTAMINATED,table,sparse,0.7,40,0.775,0.15,0.625,25,0,5.960464477539063e-08,0.5671130952380953,0.11750000000000001,0.4496130952380953,0.3102619047619048,0.5894092261904761,0.6171169600780718,0.12544456402014997,0.4916723960579218,0.35312779824827756,0.6271159359121308,0.775,0.35,0.825,0.85,1.0,0.25
OLD80_CONTAMINATED,table,sparse,0.8,40,0.775,0.1,0.675,27,0,1.4901161193847656e-08,0.5671130952380953,0.0875,0.47961309523809526,0.340029761904762,0.6233630952380953,0.6171169600780718,0.09077324383928645,0.5263437162387854,0.39218780717683416,0.6607713880328272,0.775,0.275,0.825,0.85,1.0,0.175
OLD80_CONTAMINATED,prose,hybrid,0.4,40,0.925,0.925,0.0,1,1,1.0,0.9125,0.8590277777777778,0.05347222222222222,-0.04027777777777778,0.15347222222222223,0.8958867934246122,0.7866526397762594,0.1092341536483528,0.028731958767910015,0.1952790436549742,0.925,0.95,0.95,0.975,1.0,1.0
OLD80_CONTAMINATED,prose,hybrid,0.5,40,0.925,0.875,0.050000000000000044,3,1,0.625,0.89375,0.7965277777777777,0.09722222222222224,-0.025,0.2222395833333331,0.9015401577911213,0.812542778244745,0.08899737954637635,-0.021930382883451234,0.2043812747512547,0.925,0.925,0.95,0.975,1.0,1.0
OLD80_CONTAMINATED,prose,hybrid,0.6,40,0.925,0.875,0.050000000000000044,3,1,0.625,0.89375,0.7840277777777778,0.10972222222222223,-0.015277777777777779,0.2375,0.9015401577911213,0.8063856392005802,0.09515451859054117,-0.015998251875381488,0.2143987684911288,0.925,0.9,0.95,0.975,1.0,0.975
OLD80_CONTAMINATED,prose,hybrid,0.7,40,0.925,0.7,0.2250000000000001,10,1,0.01171875,0.89375,0.6527777777777778,0.24097222222222223,0.08125,0.40069444444444446,0.9015401577911213,0.6640722375701724,0.23746792022094887,0.08343601858155299,0.3949936701125484,0.925,0.875,0.95,0.975,1.0,0.775
