pool,qid,stratum,arm,mode,t,recall10,mrr10,ndcg10,n_rel_in_arm,reachable,union10_hit,page_hit,first_rank,best_cov_top10
FRESH,T012,table,B,sparse,0.5,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T012,table,B,sparse,0.6,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T012,table,B,sparse,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T012,table,B,sparse,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T014,table,A,hybrid,0.4,0,0.0,0.0,9,1,1,1,0,0.21818181818181817
FRESH,T014,table,A,hybrid,0.5,0,0.0,0.0,9,1,1,1,0,0.21818181818181817
FRESH,T014,table,A,hybrid,0.6,0,0.0,0.0,5,1,1,1,0,0.21818181818181817
FRESH,T014,table,A,hybrid,0.7,0,0.0,0.0,5,1,0,1,0,0.21818181818181817
FRESH,T014,table,A,hybrid,0.8,0,0.0,0.0,5,1,0,1,0,0.21818181818181817
FRESH,T014,table,A,dense,0.4,0,0.0,0.0,9,1,1,1,0,0.21818181818181817
FRESH,T014,table,A,dense,0.5,0,0.0,0.0,9,1,1,1,0,0.21818181818181817
FRESH,T014,table,A,dense,0.6,0,0.0,0.0,5,1,0,1,0,0.21818181818181817
FRESH,T014,table,A,dense,0.7,0,0.0,0.0,5,1,0,1,0,0.21818181818181817
FRESH,T014,table,A,dense,0.8,0,0.0,0.0,5,1,0,1,0,0.21818181818181817
FRESH,T014,table,A,sparse,0.4,0,0.0,0.0,9,1,1,1,0,0.14545454545454545
FRESH,T014,table,A,sparse,0.5,0,0.0,0.0,9,1,0,1,0,0.14545454545454545
FRESH,T014,table,A,sparse,0.6,0,0.0,0.0,5,1,0,1,0,0.14545454545454545
FRESH,T014,table,A,sparse,0.7,0,0.0,0.0,5,1,0,1,0,0.14545454545454545
FRESH,T014,table,A,sparse,0.8,0,0.0,0.0,5,1,0,1,0,0.14545454545454545
FRESH,T014,table,B,hybrid,0.4,0,0.0,0.0,7,1,1,1,0,0.18181818181818182
FRESH,T014,table,B,hybrid,0.5,0,0.0,0.0,7,1,1,1,0,0.18181818181818182
FRESH,T014,table,B,hybrid,0.6,0,0.0,0.0,4,1,0,1,0,0.18181818181818182
FRESH,T014,table,B,hybrid,0.7,0,0.0,0.0,4,1,0,1,0,0.18181818181818182
FRESH,T014,table,B,hybrid,0.8,0,0.0,0.0,4,1,0,1,0,0.18181818181818182
FRESH,T014,table,B,dense,0.4,0,0.0,0.0,7,1,1,1,0,0.12727272727272726
FRESH,T014,table,B,dense,0.5,0,0.0,0.0,7,1,0,1,0,0.12727272727272726
FRESH,T014,table,B,dense,0.6,0,0.0,0.0,4,1,0,1,0,0.12727272727272726
FRESH,T014,table,B,dense,0.7,0,0.0,0.0,4,1,0,1,0,0.12727272727272726
FRESH,T014,table,B,dense,0.8,0,0.0,0.0,4,1,0,1,0,0.12727272727272726
FRESH,T014,table,B,sparse,0.4,0,0.0,0.0,7,1,1,1,0,0.18181818181818182
FRESH,T014,table,B,sparse,0.5,0,0.0,0.0,7,1,1,1,0,0.18181818181818182
FRESH,T014,table,B,sparse,0.6,0,0.0,0.0,4,1,1,1,0,0.18181818181818182
FRESH,T014,table,B,sparse,0.7,0,0.0,0.0,4,1,0,1,0,0.18181818181818182
FRESH,T014,table,B,sparse,0.8,0,0.0,0.0,4,1,0,1,0,0.18181818181818182
FRESH,T015,table,A,hybrid,0.4,1,0.3333333333333333,0.2437748474873753,7,1,1,1,3,1.0
FRESH,T015,table,A,hybrid,0.5,1,0.3333333333333333,0.30078518014914984,5,1,1,1,3,1.0
FRESH,T015,table,A,hybrid,0.6,1,0.3333333333333333,0.30078518014914984,5,1,1,1,3,1.0
FRESH,T015,table,A,hybrid,0.7,1,0.3333333333333333,0.5437713091520254,2,1,1,1,3,1.0
FRESH,T015,table,A,hybrid,0.8,1,0.3333333333333333,0.5437713091520254,2,1,1,1,3,1.0
FRESH,T015,table,A,dense,0.4,1,0.5,0.4612702997430422,7,1,1,1,2,1.0
