question_id,gold_is_table,category,source_file,page_number,gold_norm_len,armA_n,armA_contig,armA_blocks,armA_contig_at_best_blocks,armA_union_contig,armB_n,armB_contig,armB_blocks,armB_contig_at_best_blocks,armB_union_contig,armB_scatter_gap,armB_scattered,fits_in_armB,fits_in_armA
Q052,False,cross_document,car_s2_e_camo_continuing_airworthiness_mgmt.pdf,40,409,6,1.0,1.0,1.0,1.0,6,0.8631,0.8631,0.8631,1.0,0.0,False,True,True
Q053,False,direct_regulation,icao_doc9859_safety_management_manual.pdf,125,424,10,1.0,1.0,1.0,1.0,9,0.842,0.842,0.842,1.0,0.0,False,True,True
Q054,False,numerical,icao_environment_report.pdf,278,364,6,1.0,1.0,1.0,1.0,6,0.7555,0.7555,0.7555,1.0,0.0,False,True,True
Q055,False,procedural,icao_doc9859_safety_management_manual.pdf,26,405,7,1.0,1.0,1.0,1.0,6,0.8593,0.8593,0.8593,1.0,0.0,False,True,True
Q056,False,cross_document,icao_doc9859_safety_management_manual.pdf,98,419,13,1.0,1.0,1.0,1.0,11,0.7685,0.7685,0.7685,1.0,0.0,False,True,True
Q057,False,direct_regulation,car_s2_e_car145_maintenance_org_2025.pdf,108,336,7,1.0,1.0,1.0,1.0,5,0.9881,0.9881,0.9881,1.0,0.0,False,True,True
Q058,False,numerical,icao_environment_report.pdf,202,181,3,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,0.0,False,True,True
Q059,False,procedural,icao_doc9859_safety_management_manual.pdf,101,404,11,1.0,1.0,1.0,1.0,11,0.8614,0.8614,0.8614,1.0,0.0,False,True,True
Q060,False,cross_document,icao_environment_report.pdf,341,194,8,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,0.0,False,True,True
Q061,False,direct_regulation,car_s2_e_car145_maintenance_org_2025.pdf,54,242,8,1.0,1.0,1.0,1.0,6,1.0,1.0,1.0,1.0,0.0,False,True,True
Q062,False,numerical,icao_environment_report.pdf,165,313,14,1.0,1.0,1.0,1.0,11,0.7987,0.7987,0.7987,1.0,0.0,False,True,True
Q063,False,procedural,icao_environment_report.pdf,98,418,7,1.0,1.0,1.0,1.0,7,0.9163,0.9163,0.9163,1.0,0.0,False,True,True
