window,overlap,n,mean,median,p10,p25,p75,p90,max,min,std,mean_err,median_err,within_tol
140,18,6937,602.574599971169,681.0,213.0,499.0,754.0,801.0,1070,22,210.36390712403463,0.4546550058867867,0.5033112582781457,False
144,18,6748,617.0652045050385,700.0,217.0,505.0,775.0,824.0,1079,19,217.9109505031697,0.48963628525788455,0.5452538631346578,False
148,18,6566,631.8984160828511,717.0,219.0,510.0,796.0,845.0,1079,19,225.6292165765924,0.5254446407313401,0.5827814569536424,False
152,19,6422,647.68530052943,736.0,222.0,523.0,817.0,868.0,1079,25,231.68657335888324,0.5635552256923907,0.6247240618101545,False
156,20,6276,664.3218610579987,756.0,233.0,534.75,837.0,891.0,1079,25,236.751666032216,0.6037169850077997,0.6688741721854304,False
160,20,6127,678.1486861433001,773.0,235.0,537.0,857.0,914.0,1100,23,244.41172170601925,0.6370958568135761,0.7064017660044151,False
164,20,5988,691.4413827655311,790.0,238.0,541.0,877.0,935.0,1115,21,252.35512240584325,0.6691853071226131,0.7439293598233996,False
168,21,5869,707.0427670812745,808.0,243.80000000000007,549.0,899.0,955.1999999999998,1137,25,258.2443630239598,0.7068480824781386,0.7836644591611479,False
172,22,5761,721.9593820517272,829.0,248.0,554.0,920.0,978.0,1173,25,265.16985662737903,0.742857779267039,0.8300220750551877,False
176,22,5642,735.2047146401985,845.0,246.0,558.0,940.0,999.0,1181,25,273.4890387356697,0.7748328896606352,0.8653421633554084,False
180,22,5517,749.5889070146819,863.0,254.0,564.0,961.0,1023.0,1197,25,281.2495574538809,0.8095572830289949,0.9050772626931567,False
184,23,5413,765.3192314797709,879.0,262.20000000000005,572.0,982.0,1045.0,1229,25,286.66377354458984,0.8475313284475371,0.9403973509933775,False
188,24,5332,778.6515378844712,898.0,264.0,572.0,1002.0,1066.0,1239,25,294.5842902507496,0.879716399395668,0.9823399558498896,False
192,24,5227,791.9910082265162,916.0,263.0,580.0,1022.0,1088.0,1254,25,302.77986095138414,0.9119187645631719,1.0220750551876379,False
196,24,5110,807.7207436399217,931.5,269.90000000000003,594.0,1042.0,1111.0,1275,25,308.5632959291675,0.9498913879719245,1.0562913907284768,False
200,25,5032,821.7839825119237,948.0,275.0,598.0,1062.0,1132.0,1307,25,315.737281684183,0.9838409783215977,1.0927152317880795,False
204,26,4945,837.37108190091,967.0,286.0,612.0,1083.0,1153.0,1347,25,320.6986305919849,1.0214692689175315,1.1346578366445916,False
208,26,4863,849.1455891425046,982.0,285.0,614.5,1104.0,1175.0,1372,25,329.34039726278274,1.0498937094791738,1.1677704194260485,False
212,26,4782,861.6102049351736,997.0,285.0,613.0,1124.75,1197.0,1383,25,337.5450940683276,1.0799841178039338,1.2008830022075054,False
216,27,4716,874.6541560644614,1013.0,289.0,620.75,1145.0,1217.0,1393,25,344.98879596006105,1.1114730800132089,1.2362030905077264,False
220,28,4651,887.9451730810579,1028.0,291.0,625.0,1166.0,1239.0,1416,25,352.6310719538779,1.1435584756429675,1.2693156732891833,False
